Imaginary,Real
-0.00691162,0.576719
0.00865383,0.576118
0.0241635,0.575094
0.039606,0.573652
0.0549699,0.571794
0.0702439,0.569524
0.0854171,0.566847
0.100479,0.563766
0.115418,0.560286
0.130224,0.556412
0.144887,0.55215
0.159396,0.547505
0.173742,0.542482
0.187916,0.537087
0.201907,0.531327
0.215707,0.525209
0.229306,0.518738
0.242696,0.511922
0.255868,0.504767
0.268813,0.497282
0.281525,0.489473
0.293995,0.481348
0.306216,0.472915
0.318179,0.464182
0.32988,0.455157
0.341309,0.445848
0.352462,0.436264
0.363332,0.426414
0.373913,0.416305
0.3842,0.405947
0.394186,0.395348
0.403867,0.384518
0.413239,0.373466
0.422296,0.362201
0.431034,0.350731
0.439449,0.339067
0.447538,0.327217
0.455296,0.315191
0.462722,0.302999
0.469811,0.290649
0.476562,0.278151
0.482971,0.265515
0.489037,0.25275
0.494758,0.239866
0.500132,0.226871
0.505158,0.213777
0.509835,0.200591
0.514161,0.187323
0.518137,0.173983
0.521762,0.16058
0.525036,0.147124
0.527959,0.133623
0.530532,0.120086
0.532755,0.106523
0.534628,0.0929432
0.536154,0.0793548
0.537333,0.065767
0.538167,0.0521885
0.538658,0.0386279
0.538807,0.0250939
0.538617,0.011595
0.53809,-0.00186055
0.537229,-0.0152644
0.536036,-0.0286085
0.534514,-0.0418847
0.532667,-0.0550851
0.530498,-0.0682021
0.52801,-0.0812279
0.525206,-0.094155
0.522092,-0.106976
0.51867,-0.119684
0.514945,-0.132271
0.510921,-0.144732
0.506603,-0.157058
0.501994,-0.169243
0.4971,-0.181281
0.491926,-0.193166
0.486477,-0.204891
0.480757,-0.21645
0.474772,-0.227837
0.468527,-0.239047
0.462027,-0.250075
0.455279,-0.260914
0.448287,-0.271559
0.441058,-0.282006
0.433596,-0.29225
0.425909,-0.302286
0.418001,-0.312109
0.40988,-0.321715
0.40155,-0.331101
0.393018,-0.340261
0.384291,-0.349192
0.375375,-0.35789
0.366275,-0.366352
0.356999,-0.374574
0.347552,-0.382554
0.337941,-0.390288
0.328173,-0.397773
0.318254,-0.405007
0.30819,-0.411987
0.297989,-0.418712
0.287656,-0.425177
0.277198,-0.431383
0.266622,-0.437326
0.255935,-0.443006
0.245142,-0.44842
0.234251,-0.453567
0.223267,-0.458446
0.212199,-0.463057
0.201051,-0.467397
0.189831,-0.471467
0.178545,-0.475265
0.1672,-0.478792
0.155802,-0.482047
0.144357,-0.485029
0.132873,-0.487739
0.121354,-0.490178
0.109808,-0.492344
0.0982413,-0.49424
0.0866594,-0.495864
0.0750686,-0.497219
0.0634753,-0.498304
0.0518854,-0.49912
0.0403051,-0.49967
0.0287402,-0.499954
0.0171967,-0.499973
0.00568046,-0.499728
-0.00580275,-0.499222
-0.0172472,-0.498456
-0.0286472,-0.497432
-0.0399972,-0.496152
-0.0512917,-0.494618
-0.0625252,-0.492831
-0.0736923,-0.490795
-0.0847878,-0.488511
-0.0958064,-0.485983
-0.106743,-0.483211
-0.117593,-0.480201
-0.12835,-0.476953
-0.139011,-0.473471
-0.14957,-0.469757
-0.160022,-0.465816
-0.170363,-0.461649
-0.180589,-0.45726
-0.190695,-0.452653
-0.200676,-0.44783
-0.210528,-0.442795
-0.220248,-0.437552
-0.22983,-0.432104
-0.239272,-0.426455
-0.248568,-0.420608
-0.257716,-0.414567
-0.266711,-0.408336
-0.275551,-0.401919
-0.28423,-0.39532
-0.292747,-0.388543
-0.301098,-0.381592
-0.309278,-0.374471
-0.317287,-0.367184
-0.325119,-0.359735
-0.332773,-0.352128
-0.340246,-0.344369
-0.347534,-0.33646
-0.354635,-0.328408
-0.361547,-0.320214
-0.368267,-0.311886
-0.374794,-0.303426
-0.381123,-0.294839
-0.387255,-0.28613
-0.393185,-0.277303
-0.398914,-0.268363
-0.404438,-0.259314
